Date,Region,Product_Category,Sales_Amount,Units_Sold,Customer_Satisfaction,Sales_Rep,Marketing_Spend,Discount_Applied,Shipping_Cost,Return_Rate,Profit_Margin,Product_Age_Days,Competitor_Price,Is_Promotion,Delivery_Time_Hours
2025-01-05,West,Clothing,8600,98,4.6,Emma Davis,1750,12,72,0.025,19.5,25,8900,TRUE,48
2025-01-06,North,Furniture,20800,29,4.4,John Smith,3000,10,370,0.035,25.1,105,22000,TRUE,108
2025-01-06,South,Clothing,9800,125,4.3,Sarah Johnson,1850,15,88,0.04,20.3,14,10100,TRUE,30
2025-01-06,East,Electronics,15900,46,4.5,Mike Chen,2500,8,170,0.025,22.1,65,16500,FALSE,60
2025-01-06,West,Furniture,21700,30,4.7,Emma Davis,3150,20,410,0.015,27.2,95,23000,TRUE,96
2025-01-07,North,Electronics,16200,47,4.6,John Smith,2650,12,155,0.02,23.5,40,16800,TRUE,24
2025-01-07,South,Furniture,22800,32,4.8,Sarah Johnson,3250,22,430,0.01,29.8,125,24000,FALSE,120
2025-01-07,East,Clothing,7900,102,4.2,Mike Chen,1600,5,74,0.045,18.3,30,8200,TRUE,54
2025-01-07,West,Electronics,18400,54,4.4,Emma Davis,2800,15,200,0.03,24.7,50,19000,TRUE,36
2025-01-08,North,Clothing,7500,96,4.5,John Smith,1620,8,66,0.035,18.9,28,7800,TRUE,42
2025-01-08,South,Electronics,19800,59,4.6,Sarah Johnson,2950,18,220,0.02,26.1,45,20500,TRUE,30
2025-01-08,East,Furniture,23500,34,4.7,Mike Chen,3350,25,460,0.015,28.9,110,25000,FALSE,144
2025-01-08,West,Clothing,9100,110,4.3,Emma Davis,1780,10,78,0.04,20.1,35,9400,TRUE,60
2025-01-09,North,Furniture,22100,30,4.8,John Smith,3180,20,390,0.01,28.5,100,23500,TRUE,84
2025-01-09,South,Clothing,10200,128,4.4,Sarah Johnson,1900,15,92,0.03,21.4,20,10500,TRUE,36
2025-01-09,East,Electronics,17400,50,4.5,Mike Chen,2720,10,180,0.025,23.8,55,18000,FALSE,48
2025-01-09,West,Furniture,20900,28,4.6,Emma Davis,3050,12,335,0.03,26.3,90,22500,TRUE,120
2025-01-10,North,Electronics,15800,46,4.4,John Smith,2580,8,165,0.035,22.4,70,16300,TRUE,24
2025-01-10,South,Furniture,24200,36,4.9,Sarah Johnson,3420,30,480,0.005,31.5,140,25500,TRUE,96
2025-01-10,East,Clothing,8800,108,4.3,Mike Chen,1720,7,80,0.045,19.8,42,9100,TRUE,66
2025-01-10,West,Electronics,18100,53,4.5,Emma Davis,2850,20,210,0.02,25.2,60,18700,TRUE,30
2025-01-11,North,Clothing,7800,99,4.2,John Smith,1680,5,70,0.05,19.2,38,8100,FALSE,72
2025-01-11,South,Electronics,20500,61,4.7,Sarah Johnson,3020,25,230,0.015,27.3,75,21200,TRUE,24
2025-01-11,East,Furniture,25100,37,4.8,Mike Chen,3520,15,490,0.025,30.1,120,26500,TRUE,132
2025-01-11,West,Clothing,9500,115,4.4,Emma Davis,1850,12,85,0.035,21.6,50,9800,TRUE,48
2025-01-12,North,Furniture,23400,33,4.6,John Smith,3280,10,440,0.04,27.8,115,25000,TRUE,108
2025-01-12,South,Clothing,10800,132,4.5,Sarah Johnson,1980,20,95,0.025,22.9,28,11100,TRUE,36
2025-01-12,East,Electronics,18200,55,4.6,Mike Chen,2820,8,190,0.03,24.5,85,18800,FALSE,60
2025-01-12,West,Furniture,22300,31,4.7,Emma Davis,3180,22,425,0.015,28.2,105,23800,TRUE,96
2025-01-13,North,Electronics,16900,49,4.5,John Smith,2720,15,175,0.02,24.1,65,17500,TRUE,24
2025-01-13,South,Furniture,25500,38,4.9,Sarah Johnson,3550,25,500,0.01,32.8,150,27000,FALSE,120
2025-01-13,East,Clothing,9200,112,4.4,Mike Chen,1800,10,82,0.04,20.5,55,9500,TRUE,78
2025-01-13,West,Electronics,19300,57,4.6,Emma Davis,2950,18,225,0.025,26.7,80,20000,TRUE,36
2025-01-14,North,Clothing,8300,103,4.3,John Smith,1750,8,72,0.045,20.8,45,8600,TRUE,54
2025-01-14,South,Electronics,21200,63,4.8,Sarah Johnson,3120,30,240,0.015,28.4,90,22000,TRUE,24
2025-01-14,East,Furniture,26400,40,4.9,Mike Chen,3680,20,520,0.02,31.9,125,28000,TRUE,144
2025-01-14,West,Clothing,10100,120,4.5,Emma Davis,1920,15,90,0.03,22.3,60,10400,TRUE,48
2025-01-15,North,Furniture,24700,35,4.7,John Smith,3420,15,460,0.035,29.5,110,26000,FALSE,120
2025-01-15,South,Clothing,11500,138,4.6,Sarah Johnson,2050,25,100,0.02,24.1,35,11800,TRUE,36
2025-01-15,East,Electronics,19100,58,4.7,Mike Chen,2920,12,200,0.025,26.2,95,19800,TRUE,60
2025-01-15,West,Furniture,23600,33,4.8,Emma Davis,3280,25,445,0.015,29.6,115,25000,TRUE,96
2025-01-16,North,Electronics,17600,51,4.6,John Smith,2820,20,185,0.03,25.4,75,18200,TRUE,24
2025-01-16,South,Furniture,26800,41,5,Sarah Johnson,3720,35,540,0.005,34.2,160,28500,TRUE,108
2025-01-16,East,Clothing,9800,118,4.5,Mike Chen,1880,8,88,0.045,21.9,68,10100,FALSE,84
2025-01-16,West,Electronics,20400,60,4.7,Emma Davis,3080,25,235,0.02,27.9,105,21100,TRUE,36
2025-01-17,North,Clothing,8900,108,4.4,John Smith,1820,10,76,0.05,22.5,52,9200,TRUE,66
2025-01-17,South,Electronics,22100,66,4.8,Sarah Johnson,3220,22,250,0.015,29.6,110,22900,TRUE,30
2025-01-17,East,Furniture,27700,43,4.9,Mike Chen,3820,15,560,0.025,32.8,135,29500,TRUE,156
2025-01-17,West,Clothing,10800,125,4.6,Emma Davis,2000,18,95,0.035,23.7,75,11100,TRUE,48
2025-01-18,North,Furniture,25900,37,4.8,John Smith,3550,20,480,0.02,30.9,120,27500,FALSE,132
2025-01-18,South,Clothing,12200,142,4.7,Sarah Johnson,2120,30,105,0.025,25.3,42,12500,TRUE,36
2025-01-18,East,Electronics,20300,62,4.8,Mike Chen,3050,10,210,0.03,27.5,120,21000,TRUE,72
2025-01-18,West,Furniture,24900,35,4.9,Emma Davis,3420,28,470,0.015,31.2,125,26500,TRUE,108
2025-01-19,North,Electronics,18500,54,4.7,John Smith,2920,15,195,0.025,26.8,90,19200,TRUE,24
2025-01-19,South,Furniture,28200,44,5,Sarah Johnson,3880,40,580,0.01,35.7,170,30000,TRUE,96
2025-01-19,East,Clothing,10500,122,4.6,Mike Chen,1950,12,92,0.04,23.1,80,10800,TRUE,90
2025-01-19,West,Electronics,21600,64,4.8,Emma Davis,3180,30,245,0.02,29.3,115,22400,TRUE,36
2025-01-20,North,Clothing,9500,113,4.5,John Smith,1900,8,80,0.045,23.8,65,9800,FALSE,78
2025-01-20,South,Electronics,23400,69,4.9,Sarah Johnson,3350,25,260,0.015,31.2,125,24200,TRUE,24
2025-01-20,East,Furniture,29100,46,5,Mike Chen,3980,20,600,0.005,37.1,145,31000,TRUE,168
2025-01-20,West,Clothing,11400,130,4.7,Emma Davis,2080,22,100,0.03,25.2,85,11700,TRUE,48
2025-01-21,North,Furniture,27200,40,4.9,John Smith,3720,25,500,0.015,32.5,130,29000,TRUE,120
2025-01-21,South,Clothing,13000,148,4.8,Sarah Johnson,2200,35,110,0.02,27.4,55,13400,TRUE,36
2025-01-21,East,Electronics,21500,65,4.9,Mike Chen,3180,15,220,0.025,29.8,140,22200,FALSE,84
2025-01-21,West,Furniture,26300,38,5,Emma Davis,3580,32,490,0.01,33.1,140,28000,TRUE,96
2025-01-22,North,Electronics,19600,57,4.8,John Smith,3050,20,205,0.03,28.3,100,20300,TRUE,30
2025-01-22,South,Furniture,29800,47,5,Sarah Johnson,4050,45,620,0.005,38.5,180,31500,TRUE,108
2025-01-22,East,Clothing,11200,128,4.7,Mike Chen,2020,18,96,0.035,24.5,95,11500,TRUE,102
2025-01-22,West,Electronics,22900,68,4.9,Emma Davis,3320,35,255,0.015,31.8,125,23700,TRUE,36
2025-01-23,North,Clothing,10200,118,4.6,John Smith,1980,12,84,0.05,25.1,78,10500,TRUE,90
2025-01-23,South,Electronics,24800,73,5,Sarah Johnson,3520,30,270,0.01,33.5,135,25600,TRUE,24
2025-01-23,East,Furniture,30500,49,5,Mike Chen,4150,25,640,0.02,39.2,155,32500,TRUE,180
2025-01-23,West,Clothing,12100,136,4.8,Emma Davis,2150,25,105,0.03,26.9,100,12400,TRUE,48
2025-01-24,North,Furniture,28700,43,5,John Smith,3920,30,520,0.01,34.8,140,30500,FALSE,132
2025-01-24,South,Clothing,13800,154,4.9,Sarah Johnson,2300,40,115,0.025,29.1,65,14200,TRUE,36
2025-01-24,East,Electronics,22800,69,5,Mike Chen,3320,20,230,0.025,31.5,150,23600,TRUE,96
2025-01-24,West,Furniture,27800,41,5,Emma Davis,3780,35,510,0.015,35.2,150,29500,TRUE,108
2025-01-25,North,Electronics,20900,61,4.9,John Smith,3200,25,215,0.02,30.1,110,21600,TRUE,24
2025-01-25,South,Furniture,31500,51,5,Sarah Johnson,4280,50,660,0.005,40.8,190,33500,TRUE,96
2025-01-25,East,Clothing,12000,134,4.8,Mike Chen,2100,22,100,0.04,26.2,110,12300,TRUE,114
2025-01-25,West,Electronics,24300,72,5,Emma Davis,3480,40,265,0.015,33.9,135,25200,TRUE,36
2025-01-26,North,Clothing,10900,124,4.7,John Smith,2050,15,88,0.045,27.3,90,11200,FALSE,102
2025-01-26,South,Electronics,26300,77,5,Sarah Johnson,3720,35,280,0.01,35.8,145,27200,TRUE,30
2025-01-26,East,Furniture,32200,53,5,Mike Chen,4380,30,680,0.015,41.9,165,34500,TRUE,192
2025-01-26,West,Clothing,12900,142,4.9,Emma Davis,2250,30,110,0.025,28.5,115,13300,TRUE,48
2025-01-27,North,Furniture,30300,46,5,John Smith,4120,35,540,0.02,37.1,150,32000,TRUE,144
2025-01-27,South,Clothing,14600,160,5,Sarah Johnson,2420,45,120,0.02,31.2,75,15000,TRUE,36
2025-01-27,East,Electronics,24200,73,5,Mike Chen,3480,25,240,0.03,33.8,160,25000,FALSE,108
2025-01-27,West,Furniture,29400,44,5,Emma Davis,3980,40,530,0.01,37.3,160,31500,TRUE,120
2025-01-28,North,Electronics,22200,65,5,John Smith,3380,30,225,0.015,32.6,120,23000,TRUE,24
2025-01-28,South,Furniture,33300,55,5,Sarah Johnson,4520,55,700,0.005,43.5,200,35500,TRUE,108
2025-01-28,East,Clothing,12800,140,4.9,Mike Chen,2220,28,104,0.035,29.4,125,13200,TRUE,126
2025-01-28,West,Electronics,25800,76,5,Emma Davis,3680,45,275,0.01,36.2,145,26700,TRUE,36
2025-01-29,North,Clothing,11700,130,4.8,John Smith,2150,20,92,0.05,29.1,105,12100,TRUE,114
2025-01-29,South,Electronics,27900,82,5,Sarah Johnson,3920,40,290,0.005,38.1,155,28900,TRUE,30
2025-01-29,East,Furniture,34100,57,5,Mike Chen,4620,35,720,0.02,44.8,175,36500,TRUE,204
2025-01-29,West,Clothing,13700,148,5,Emma Davis,2350,35,115,0.03,30.8,130,14100,TRUE,48
2025-01-30,North,Furniture,32100,49,5,John Smith,4350,40,560,0.015,39.5,160,34000,FALSE,156
2025-01-30,South,Clothing,15500,168,5,Sarah Johnson,2550,50,125,0.025,33.4,85,16000,TRUE,36
2025-01-30,East,Electronics,25700,77,5,Mike Chen,3680,30,250,0.025,35.9,170,26600,TRUE,120
2025-01-30,West,Furniture,31100,47,5,Emma Davis,4220,45,550,0.01,39.8,170,33500,TRUE,132
2025-01-31,North,Electronics,23700,69,5,John Smith,3580,35,235,0.02,35.1,130,24500,TRUE,24
2025-01-31,South,Furniture,35200,59,5,Sarah Johnson,4750,60,740,0.005,46.2,210,37500,TRUE,108
2025-01-31,East,Clothing,13600,146,5,Mike Chen,2320,32,108,0.04,32.1,140,14000,TRUE,138
2025-01-31,West,Electronics,27400,80,5,Emma Davis,3880,50,285,0.015,38.5,155,28400,TRUE,36
2025-02-01,North,Clothing,12500,136,4.9,John Smith,2250,25,96,0.045,31.5,120,12900,FALSE,126
2025-02-01,South,Electronics,29600,86,5,Sarah Johnson,4150,45,300,0.01,40.6,165,30600,TRUE,30
2025-02-01,East,Furniture,36100,61,5,Mike Chen,4880,40,760,0.015,47.9,185,38500,TRUE,216
2025-02-01,West,Clothing,14600,154,5,Emma Davis,2480,40,120,0.035,33.2,145,15000,TRUE,48
2025-02-02,North,Furniture,34000,52,5,John Smith,4600,45,580,0.02,42.3,170,36000,TRUE,168
2025-02-02,South,Clothing,16500,175,5,Sarah Johnson,2700,55,130,0.03,35.9,95,17000,TRUE,36
2025-02-02,East,Electronics,27300,82,5,Mike Chen,3880,35,260,0.03,38.2,180,28200,FALSE,132
2025-02-02,West,Furniture,33000,50,5,Emma Davis,4480,50,570,0.015,42.5,180,35500,TRUE,144
2025-02-03,North,Electronics,25300,73,5,John Smith,3780,40,245,0.025,37.8,140,26200,TRUE,24
2025-02-03,South,Furniture,37300,63,5,Sarah Johnson,5020,65,780,0.005,49.8,220,39500,TRUE,108
2025-02-03,East,Clothing,14500,152,5,Mike Chen,2450,38,112,0.045,34.8,155,14900,TRUE,150
2025-02-03,West,Electronics,29100,85,5,Emma Davis,4120,55,295,0.02,41.3,165,30100,TRUE,36
2025-02-04,North,Clothing,13400,142,5,John Smith,2380,30,100,0.05,33.9,135,13800,TRUE,138
2025-02-04,South,Electronics,31500,91,5,Sarah Johnson,4420,50,310,0.015,43.2,175,32600,TRUE,30
2025-02-04,East,Furniture,38300,66,5,Mike Chen,5150,45,800,0.025,51.5,195,41000,TRUE,228
2025-02-04,West,Clothing,15600,161,5,Emma Davis,2620,45,125,0.04,36.5,160,16100,TRUE,48
2025-02-05,North,Furniture,36100,56,5,John Smith,4880,50,600,0.015,45.1,180,38500,FALSE,180
2025-02-05,South,Clothing,17600,183,5,Sarah Johnson,2880,60,135,0.035,38.4,105,18100,TRUE,36
2025-02-05,East,Electronics,29000,87,5,Mike Chen,4120,40,270,0.035,40.7,190,30000,TRUE,144
2025-02-05,West,Furniture,35200,54,5,Emma Davis,4750,55,590,0.02,45.3,190,38000,TRUE,156
2025-02-06,North,Electronics,27000,78,5,John Smith,4020,45,255,0.03,40.5,150,28000,TRUE,24
2025-02-06,South,Furniture,39600,68,5,Sarah Johnson,5320,70,820,0.01,53.8,230,42000,TRUE,108
2025-02-06,East,Clothing,15500,159,5,Mike Chen,2600,42,116,0.05,37.5,170,16000,TRUE,162
2025-02-06,West,Electronics,31000,90,5,Emma Davis,4350,60,305,0.025,44.1,175,32100,TRUE,36
2025-02-07,North,Clothing,14300,149,5,John Smith,2520,35,104,0.045,36.8,150,14700,FALSE,150
2025-02-07,South,Electronics,33600,96,5,Sarah Johnson,4720,55,320,0.02,46.5,185,34800,TRUE,30
2025-02-07,East,Furniture,40700,71,5,Mike Chen,5480,50,840,0.03,55.2,205,43500,TRUE,240
2025-02-07,West,Clothing,16700,169,5,Emma Davis,2780,50,130,0.045,39.8,175,17200,TRUE,48
2025-02-08,North,Furniture,38400,60,5,John Smith,5180,55,620,0.02,48.5,190,41000,TRUE,192
2025-02-08,South,Clothing,18800,191,5,Sarah Johnson,3080,65,140,0.04,41.7,115,19400,TRUE,36
2025-02-08,East,Electronics,30900,92,5,Mike Chen,4350,45,280,0.04,43.4,200,32000,TRUE,156
2025-02-08,West,Furniture,37500,58,5,Emma Davis,5050,60,610,0.025,48.9,200,40500,TRUE,168
2025-02-09,North,Electronics,28800,83,5,John Smith,4280,50,265,0.035,43.2,160,29800,TRUE,24
2025-02-09,South,Furniture,42100,74,5,Sarah Johnson,5650,75,860,0.015,57.1,240,45000,TRUE,108
2025-02-09,East,Clothing,16600,166,5,Mike Chen,2750,48,120,0.055,40.2,185,17100,TRUE,174
2025-02-09,West,Electronics,33100,95,5,Emma Davis,4650,65,315,0.03,47.4,185,34200,TRUE,36
2025-02-10,North,Clothing,15300,156,5,John Smith,2680,40,108,0.05,39.5,165,15800,TRUE,162
2025-02-10,South,Electronics,35900,101,5,Sarah Johnson,5020,60,330,0.025,49.8,195,37200,TRUE,30
2025-02-10,East,Furniture,43400,77,5,Mike Chen,5820,55,880,0.035,58.9,215,46500,TRUE,252
2025-02-10,West,Clothing,17900,177,5,Emma Davis,2950,55,135,0.05,43.1,190,18400,TRUE,48
2025-02-11,North,Furniture,40900,64,5,John Smith,5520,60,640,0.025,51.8,200,43500,FALSE,204
2025-02-11,South,Clothing,20100,199,5,Sarah Johnson,3280,70,145,0.045,45.2,125,20700,TRUE,36
2025-02-11,East,Electronics,33000,97,5,Mike Chen,4650,50,290,0.045,46.1,210,34200,TRUE,168
2025-02-11,West,Furniture,40100,62,5,Emma Davis,5420,65,630,0.03,51.5,210,43000,TRUE,180
2025-02-12,North,Electronics,30800,88,5,John Smith,4580,55,275,0.04,46.5,170,31900,TRUE,30
2025-02-12,South,Furniture,44900,80,5,Sarah Johnson,6020,80,900,0.02,61.8,250,48000,TRUE,108
2025-02-12,East,Clothing,17800,174,5,Mike Chen,2920,52,124,0.06,44.3,200,18300,TRUE,186
2025-02-12,West,Electronics,35400,100,5,Emma Davis,4980,70,325,0.035,50.9,195,36700,TRUE,36
2025-02-13,North,Clothing,16400,163,5,John Smith,2850,45,112,0.055,42.8,180,16900,TRUE,174
2025-02-13,South,Electronics,38400,107,5,Sarah Johnson,5380,65,340,0.03,53.5,205,39800,FALSE,30
2025-02-13,East,Furniture,46300,83,5,Mike Chen,6220,60,920,0.04,62.8,225,49500,TRUE,264
2025-02-13,West,Clothing,19200,185,5,Emma Davis,3150,60,140,0.055,46.5,205,19800,TRUE,48
2025-02-14,North,Furniture,43700,68,5,John Smith,5920,65,660,0.03,55.2,210,46500,TRUE,216
2025-02-14,South,Clothing,21500,208,5,Sarah Johnson,3500,75,150,0.05,48.7,135,22100,TRUE,36
2025-02-14,East,Electronics,35200,103,5,Mike Chen,4980,55,300,0.05,49.8,220,36500,TRUE,180
2025-02-14,West,Furniture,42900,66,5,Emma Davis,5780,70,650,0.035,54.9,220,46000,TRUE,192
2025-02-15,North,Electronics,33000,94,5,John Smith,4920,60,285,0.045,49.8,180,34200,TRUE,24
2025-02-15,South,Furniture,48000,86,5,Sarah Johnson,6450,85,940,0.025,65.5,260,51000,TRUE,108
2025-02-15,East,Clothing,19000,182,5,Mike Chen,3100,58,128,0.065,47.6,215,19600,TRUE,198
2025-02-15,West,Electronics,37900,106,5,Emma Davis,5320,75,335,0.04,54.2,205,39300,TRUE,36
2025-02-16,North,Clothing,17600,171,5,John Smith,3050,50,116,0.06,45.9,195,18100,FALSE,186
2025-02-16,South,Electronics,41100,113,5,Sarah Johnson,5780,70,350,0.035,56.8,215,42600,TRUE,30
2025-02-16,East,Furniture,49500,90,5,Mike Chen,6650,65,960,0.045,67.5,235,53000,TRUE,276
2025-02-16,West,Clothing,20600,194,5,Emma Davis,3380,65,145,0.06,50.1,220,21200,TRUE,48
2025-02-17,North,Furniture,46800,73,5,John Smith,6350,70,680,0.035,58.9,220,50000,TRUE,228
2025-02-17,South,Clothing,23000,217,5,Sarah Johnson,3750,80,155,0.055,52.4,145,23700,TRUE,36
2025-02-17,East,Electronics,37700,109,5,Mike Chen,5320,60,310,0.055,52.5,230,39000,TRUE,192
2025-02-17,West,Furniture,46000,71,5,Emma Davis,6220,75,670,0.04,58.5,230,49500,TRUE,204
2025-02-18,North,Electronics,35400,100,5,John Smith,5280,65,295,0.05,53.1,190,36700,TRUE,30
2025-02-18,South,Furniture,51400,92,5,Sarah Johnson,6920,90,980,0.03,70.8,270,55000,TRUE,108
2025-02-18,East,Clothing,20300,190,5,Mike Chen,3320,62,132,0.07,50.8,230,20900,TRUE,210
2025-02-18,West,Electronics,40600,113,5,Emma Davis,5720,80,345,0.045,57.9,215,42100,TRUE,36
2025-02-19,North,Clothing,18900,179,5,John Smith,3280,55,120,0.065,49.2,210,19500,TRUE,198
2025-02-19,South,Electronics,44000,120,5,Sarah Johnson,6220,75,360,0.04,60.5,225,45600,FALSE,30
2025-02-19,East,Furniture,53000,96,5,Mike Chen,7150,70,1000,0.05,72.8,245,57000,TRUE,288
2025-02-19,West,Clothing,22100,203,5,Emma Davis,3620,70,150,0.065,54.8,235,22800,TRUE,48
2025-02-20,North,Furniture,50200,78,5,John Smith,6820,75,700,0.04,63.2,230,53500,TRUE,240
2025-02-20,South,Clothing,24600,227,5,Sarah Johnson,4020,85,160,0.06,56.9,155,25300,TRUE,36
2025-02-20,East,Electronics,40300,116,5,Mike Chen,5720,65,320,0.06,55.8,240,41800,TRUE,204
2025-02-20,West,Furniture,49300,76,5,Emma Davis,6680,80,690,0.045,62.1,240,53000,TRUE,216
